Time (s),X Position (pixels)
-50.0,-50.0
-49.892638036809814,-50.0
-49.785276073619634,-50.0
-49.67791411042945,-50.0
-49.57055214723926,-50.0
-49.46319018404908,-50.0
-49.355828220858896,-50.0
-49.24846625766871,-50.0
-49.14110429447853,-50.0
-49.033742331288344,-50.0
-48.92638036809816,-50.0
-48.81901840490798,-50.0
-48.71165644171779,-50.0
-48.604294478527606,-50.0
-48.49693251533742,-50.0
-48.38957055214724,-50.0
-48.282208588957054,-50.0
-48.17484662576687,-50.0
-48.06748466257669,-50.0
-47.9601226993865,-50.0
-47.852760736196316,-50.0
-47.74539877300614,-50.0
-47.63803680981595,-50.0
-47.530674846625764,-50.0
-47.423312883435585,-50.0
-47.3159509202454,-50.0
-47.20858895705521,11.32884147482688
-47.10122699386503,7.7409694927943065
-46.99386503067485,14.99532098072244
-46.88650306748466,14.506831368141746
-46.77914110429448,6.846341006924952
-46.671779141104295,15.562418117166132
-46.56441717791411,14.506831368141746
-46.45705521472392,6.846341006924952
-46.34969325153374,16.18753509264458
-46.24233128834356,7.653003930376194
-46.13496932515337,9.595732734415385
-46.02760736196319,16.18753509264458
-45.920245398773005,12.740033688935313
-45.81288343558282,8.074115665356544
-45.70552147239264,14.437581882837364
-45.59815950920245,12.182294591053711
-45.49079754601227,15.18996818266892
-45.38343558282209,14.437581882837364
-45.2760736196319,8.676773348306192
-45.168711656441715,9.071682575328722
-45.061349693251536,13.432528542017593
-44.95398773006135,7.718510200262031
-44.84662576687116,8.31368145236759
-44.739263803680984,11.32884147482688
-44.6319018404908,8.603780647576265
-44.52453987730061,14.7950589556429
-44.417177914110425,8.294965375257348
-44.309815950920246,12.176679767920646
-44.20245398773006,14.99532098072244
-44.09509202453987,8.294965375257348
-43.987730061349694,12.491109863372643
-43.88036809815951,14.727681078046047
-43.77300613496932,11.02564102564451
-43.66564417177914,11.817331087404078
-43.558282208588956,8.951899681823207
-43.45092024539878,9.595732734415385
-43.34355828220859,13.430656934306569
-43.236196319018404,12.182294591053711
-43.12883435582822,7.456485120718696
-43.02147239263804,10.976979225154409
-42.91411042944785,12.182294591053711
-42.806748466257666,7.297398465285163
-42.69938650306749,14.437581882837364
-42.5920245398773,7.718510200262031
-42.484662576687114,8.65431405577391
-42.37730061349693,11.32884147482688
-42.26993865030675,7.718510200262031
-42.16257668711656,14.19240127268975
-42.055214723926376,8.294965375257348
-41.9478527607362,8.294965375257348
-41.84049079754601,14.903612202885768
-41.733128834355824,8.294965375257348
-41.625766871165645,12.176679767920646
-41.51840490797546,14.99532098072244
-41.41104294478528,8.294965375257348
-41.30368098159509,6.846341006924952
-41.19631901840491,8.951899681823207
-41.08895705521472,7.653003930376194
-40.98159509202454,11.817331087404078
-40.874233128834355,16.574957888826503
-40.76687116564417,12.492981471087141
-40.65950920245399,8.074115665356544
-40.5521472392638,10.976979225154409
-40.44478527607362,12.182294591053711
-40.33742331288344,4.480628860190905
-40.23006134969325,14.437581882837364
-40.122699386503065,8.676773348306192
-40.015337423312886,9.071682575328722
-39.9079754601227,11.32884147482688
-39.80061349693251,7.718510200262031
-39.69325153374233,8.65431405577391
-39.58588957055215,11.32884147482688
-39.47852760736196,7.492045667231629
-39.37116564417178,14.99532098072244
-39.263803680981596,12.354482500467903
-39.15644171779141,6.846341006924952
-39.04907975460122,14.99532098072244
-38.941717791411044,8.294965375257348
-38.83435582822086,11.358787198203252
-38.72699386503067,14.396406513194833
-38.61963190184049,13.013288414748274
-38.512269938650306,12.182294591053711
-38.40490797546012,9.406700355605466
-38.29754601226994,12.492981471087141
-38.190184049079754,9.595732734415385
-38.08282208588957,16.574957888826503
-37.97546012269939,12.813026389668721
-37.8680981595092,8.074115665356544
-37.760736196319016,14.166198764738908
-37.65337423312883,12.182294591053711
-37.54601226993865,15.626052779337456
-37.438650306748464,14.437581882837364
-37.331288343558285,8.676773348306192
-37.2239263803681,9.071682575328722
-37.11656441717791,13.432528542017593
-37.009202453987726,7.718510200262031
-36.90184049079755,8.65431405577391
-36.79447852760736,11.32884147482688
-36.68711656441718,8.36608646827625
-36.579754601226995,13.687067190716824
-36.47239263803681,8.294965375257348
-36.36503067484662,12.161706906232453
-36.257668711656436,14.7950589556429
-36.15030674846626,7.417181358790685
-36.04294478527607,6.846341006924952
