Time (s),Y Position (pixels)
-20.0,15.0
-19.945652173913043,12.461297718866632
-19.891304347826086,12.461297718866632
-19.83695652173913,12.461297718866632
-19.782608695652176,12.461297718866632
-19.72826086956522,12.461297718866632
-19.67391304347826,10.718649060266774
-19.619565217391305,10.718649060266774
-19.565217391304348,10.718649060266774
-19.51086956521739,10.718649060266774
-19.456521739130434,10.718649060266774
-19.402173913043477,-19.483941691352445
-19.347826086956523,-19.961339559170558
-19.293478260869566,-19.961339559170558
-19.23913043478261,-19.961339559170558
-19.184782608695652,-19.961339559170558
-19.130434782608695,-19.961339559170558
-19.07608695652174,-19.496242740707267
-19.02173913043478,-19.496242740707267
-18.967391304347828,-19.496242740707267
-18.91304347826087,-19.191059563856673
-18.858695652173914,-19.191059563856673
-18.804347826086957,-19.191059563856673
-18.75,-19.389633646298808
-18.695652173913043,-19.389633646298808
-18.641304347826086,-19.389633646298808
-18.58695652173913,-19.389633646298808
-18.532608695652172,-19.389633646298808
-18.47826086956522,-19.389633646298808
-18.42391304347826,-19.389633646298808
-18.369565217391305,-19.389633646298808
-18.315217391304348,-19.389633646298808
-18.26086956521739,-19.389633646298808
-18.206521739130434,-19.572977858111162
-18.152173913043477,-19.572977858111162
-18.097826086956523,-19.572977858111162
-18.043478260869566,-19.516158725376982
-17.98913043478261,-19.516158725376982
-17.934782608695652,-19.516158725376982
-17.880434782608695,-19.516158725376982
-17.82608695652174,-19.516158725376982
-17.77173913043478,-19.516158725376982
-17.717391304347828,-19.516158725376982
-17.66304347826087,-19.516158725376982
-17.608695652173914,-19.516158725376982
-17.554347826086957,-19.516158725376982
-17.5,-19.516158725376982
-17.445652173913043,-19.516158725376982
-17.391304347826086,-19.516158725376982
-17.33695652173913,-19.516158725376982
-17.282608695652172,-19.516158725376982
-17.22826086956522,-19.516158725376982
-17.17391304347826,-19.516158725376982
-17.119565217391305,-19.516158725376982
-17.065217391304348,-19.516158725376982
-17.01086956521739,-19.516158725376982
-16.956521739130434,-19.516158725376982
-16.902173913043477,-19.516158725376982
-16.847826086956523,-19.516158725376982
-16.793478260869566,-19.516158725376982
-16.73913043478261,-19.516158725376982
-16.684782608695652,-19.516158725376982
-16.630434782608695,-19.516158725376982
-16.57608695652174,-19.516158725376982
-16.52173913043478,-19.516158725376982
-16.467391304347828,-19.516158725376982
-16.413043478260867,-19.516158725376982
-16.358695652173914,-19.516158725376982
-16.304347826086957,-19.516158725376982
-16.25,-19.516158725376982
-16.195652173913043,-19.516158725376982
-16.141304347826086,-19.516158725376982
-16.08695652173913,-19.516158725376982
-16.032608695652172,-19.516158725376982
-15.978260869565217,-19.516158725376982
-15.923913043478262,-19.516158725376982
-15.869565217391305,-19.516158725376982
-15.815217391304348,-19.516158725376982
-15.76086956521739,-19.516158725376982
-15.706521739130434,-19.516158725376982
-15.652173913043478,-19.516158725376982
-15.597826086956522,-19.516158725376982
-15.543478260869565,-18.892905558065973
-15.48913043478261,-18.892905558065973
-15.434782608695652,-18.892905558065973
-15.380434782608695,-18.892905558065973
-15.326086956521738,-18.892905558065973
-15.271739130434781,-18.892905558065973
-15.217391304347826,-18.892905558065973
-15.16304347826087,-18.892905558065973
-15.108695652173912,-18.892905558065973
-15.054347826086957,-18.892905558065973
-15.0,-18.892905558065973
-14.945652173913043,-18.892905558065973
-14.891304347826086,-18.892905558065973
-14.83695652173913,-18.892905558065973
-14.782608695652172,-18.892905558065973
-14.728260869565217,-18.892905558065973
-14.673913043478262,-18.892905558065973
-14.619565217391305,-18.892905558065973
-14.565217391304348,-18.892905558065973
-14.51086956521739,-18.892905558065973
-14.456521739130434,-18.892905558065973
-14.402173913043478,-18.892905558065973
-14.34782608695652,-18.892905558065973
-14.293478260869566,-18.892905558065973
-14.23913043478261,-18.892905558065973
-14.184782608695652,-18.892905558065973
-14.130434782608695,-18.892905558065973
-14.076086956521738,-18.892905558065973
-14.021739130434781,-18.892905558065973
-13.967391304347824,-18.892905558065973
-13.913043478260871,-18.892905558065973
-13.858695652173914,-18.892905558065973
-13.804347826086957,-18.24505029204532
-13.75,-18.24505029204532
-13.695652173913043,-18.24505029204532
-13.641304347826086,-18.24505029204532
-13.586956521739129,-18.24505029204532
-13.532608695652172,-18.24505029204532
-13.478260869565217,-18.24505029204532
-13.42391304347826,-18.590065438235342
-13.369565217391305,-18.24505029204532
-13.315217391304348,-18.24505029204532
-13.26086956521739,-18.24505029204532
-13.206521739130434,-18.24505029204532
-13.152173913043477,-18.24505029204532
-13.097826086956522,-18.419022275777813
-13.043478260869565,-18.24505029204532
-12.98913043478261,-18.24505029204532
-12.934782608695652,-18.24505029204532
-12.880434782608695,-18.419022275777813
-12.826086956521738,-18.24505029204532
-12.771739130434781,-18.24505029204532
-12.717391304347824,-18.24505029204532
-12.66304347826087,-18.419022275777813
-12.608695652173914,-18.24505029204532
-12.554347826086957,-18.24505029204532
-12.5,-18.24505029204532
-12.445652173913043,-18.419022275777813
-12.391304347826086,-18.24505029204532
-12.336956521739129,-18.24505029204532
-12.282608695652172,-18.24505029204532
-12.228260869565217,-18.419022275777813
-12.173913043478262,-18.24505029204532
-12.119565217391305,-18.24505029204532
-12.065217391304348,-18.24505029204532
-12.01086956521739,-18.419022275777813
-11.956521739130434,-18.24505029204532
-11.902173913043477,-18.24505029204532
-11.847826086956522,-18.419022275777813
-11.793478260869565,-18.419022275777813
-11.73913043478261,-18.419022275777813
-11.684782608695652,-18.419022275777813
-11.630434782608695,-18.419022275777813
-11.576086956521738,-18.419022275777813
-11.521739130434781,-18.419022275777813
-11.467391304347826,-18.419022275777813
-11.41304347826087,-18.419022275777813
-11.358695652173912,-18.419022275777813
-11.304347826086957,-18.419022275777813
-11.25,-18.554919582935852
-11.195652173913043,-18.554919582935852
-11.141304347826086,-19.097337283058025
-11.086956521739129,-18.554919582935852
-11.032608695652174,-18.554919582935852
-10.978260869565219,-18.554919582935852
-10.92391304347826,-18.554919582935852
-10.869565217391305,-18.554919582935852
-10.815217391304348,-18.554919582935852
-10.760869565217389,-18.554919582935852
-10.706521739130434,-18.554919582935852
-10.652173913043478,-18.554919582935852
-10.59782608695652,-18.554919582935852
-10.543478260869565,-18.554919582935852
-10.48913043478261,-18.554919582935852
-10.434782608695652,-18.554919582935852
-10.380434782608694,-18.554919582935852
-10.326086956521738,-18.554919582935852
-10.271739130434781,-18.554919582935852
-10.217391304347824,-18.554919582935852
-10.16304347826087,-18.554919582935852
-10.108695652173912,-18.554919582935852
-10.054347826086957,-18.554919582935852
-10.0,-18.554919582935852
-9.945652173913043,-18.419022275777813
-9.891304347826086,-18.554919582935852
-9.836956521739129,-18.554919582935852
-9.782608695652174,-18.554919582935852
-9.728260869565217,-18.554919582935852
-9.673913043478262,-18.554919582935852
-9.619565217391305,-18.554919582935852
-9.565217391304346,-18.554919582935852
-9.51086956521739,-18.554919582935852
-9.456521739130434,-18.554919582935852
-9.402173913043477,-18.554919582935852
-9.347826086956522,-18.554919582935852
-9.293478260869566,-18.554919582935852
-9.239130434782608,-18.554919582935852
-9.184782608695652,-18.554919582935852
-9.130434782608695,-18.554919582935852
-9.076086956521738,-18.554919582935852
-9.021739130434781,-18.554919582935852
-8.967391304347826,-18.554919582935852
-8.913043478260867,-18.554919582935852
-8.858695652173912,-17.925223008819938
-8.804347826086957,-18.554919582935852
-8.75,-18.554919582935852
-8.695652173913041,-18.554919582935852
-8.641304347826086,-18.554919582935852
-8.58695652173913,-17.925223008819938
-8.532608695652172,-17.925223008819938
-8.478260869565217,-17.925223008819938
-8.423913043478262,-17.925223008819938
-8.369565217391305,-17.925223008819938
-8.315217391304346,-18.419022275777813
-8.26086956521739,-17.999615069203863
-8.206521739130434,-18.24505029204532
-8.152173913043477,-18.419022275777813
-8.097826086956522,-18.419022275777813
-8.043478260869565,-18.419022275777813
-7.9891304347826075,-18.419022275777813
-7.934782608695652,-18.419022275777813
-7.880434782608695,-18.419022275777813
-7.826086956521738,-18.419022275777813
-7.771739130434781,-18.419022275777813
-7.717391304347826,-18.419022275777813
-7.663043478260869,-18.419022275777813
-7.608695652173912,-18.419022275777813
-7.554347826086955,-18.419022275777813
-7.499999999999998,-18.419022275777813
-7.445652173913043,-18.419022275777813
-7.391304347826086,-18.419022275777813
-7.336956521739129,-18.419022275777813
-7.282608695652174,-18.419022275777813
-7.228260869565217,-18.419022275777813
-7.17391304347826,-18.419022275777813
-7.119565217391306,-19.022359458419107
-7.065217391304346,-19.191059563856673
-7.010869565217391,-19.191059563856673
-6.956521739130434,-19.191059563856673
-6.9021739130434785,-19.191059563856673
-6.84782608695652,-19.191059563856673
-6.7934782608695645,-19.191059563856673
-6.739130434782609,-19.191059563856673
-6.6847826086956506,-19.191059563856673
-6.630434782608695,-18.892905558065973
-6.57608695652174,-18.892905558065973
-6.521739130434783,-18.892905558065973
-6.467391304347824,-18.892905558065973
-6.413043478260867,-18.892905558065973
-6.358695652173912,-18.892905558065973
-6.304347826086953,-18.892905558065973
-6.249999999999998,-19.191059563856673
-6.195652173913043,-18.892905558065973
-6.141304347826084,-18.892905558065973
-6.086956521739129,-18.892905558065973
-6.032608695652174,-18.892905558065973
-5.978260869565217,-18.892905558065973
-5.92391304347826,-18.892905558065973
-5.869565217391305,-18.892905558065973
-5.815217391304348,-18.892905558065973
-5.7608695652173925,-18.892905558065973
-5.7065217391304355,-18.892905558065973
-5.652173913043477,-18.892905558065973
-5.59782608695652,-18.892905558065973
-5.543478260869563,-18.892905558065973
-5.4891304347826075,-18.892905558065973
-5.4347826086956506,-18.892905558065973
-5.380434782608694,-18.892905558065973
-5.326086956521738,-18.892905558065973
-5.271739130434785,-18.892905558065973
-5.217391304347826,-18.892905558065973
-5.163043478260869,-18.892905558065973
-5.108695652173912,-18.892905558065973
-5.054347826086957,-19.572977858111162
-5.0,-19.516158725376982
-4.945652173913043,-19.516158725376982
-4.891304347826088,-19.516158725376982
-4.836956521739127,-19.516158725376982
-4.782608695652172,-19.516158725376982
-4.728260869565215,-19.516158725376982
-4.67391304347826,-19.516158725376982
-4.619565217391303,-19.516158725376982
-4.565217391304344,-19.516158725376982
