Time (s),X Position (pixels)
20.0,-15.387949505412301
19.888535031847134,-15.387949505412301
19.777070063694268,-15.387949505412301
19.6656050955414,-15.387949505412301
19.554140127388536,-15.387949505412301
19.44267515923567,-15.387949505412301
19.331210191082803,-15.387949505412301
19.219745222929937,-15.387949505412301
19.10828025477707,-15.387949505412301
18.996815286624205,-15.387949505412301
18.88535031847134,-15.387949505412301
18.773885350318473,-15.387949505412301
18.662420382165607,-15.379543602651232
18.55095541401274,-14.705229186737938
18.439490445859875,-14.035802033725723
18.328025477707005,-13.364646342962637
18.21656050955414,-12.693073908851403
18.105095541401273,-12.023428912725379
17.993630573248407,-11.3486669712848
17.88216560509554,-10.675733017712261
17.770700636942674,-10.00151331619627
17.659235668789808,-9.331326080145661
17.547770700636942,-8.660075674985272
17.436305732484076,-7.989464592006705
17.32484076433121,-7.319031098523098
17.213375796178344,-6.646165812888608
17.101910828025478,-5.9732484343355985
16.99044585987261,-5.3040391244371925
16.878980891719745,-4.634114720839115
16.76751592356688,-3.9547828097284317
16.656050955414013,-3.280468393815134
16.544585987261147,-2.6213745815492047
16.43312101910828,-1.9466126401086257
16.321656050955415,-1.2767403294290602
16.21019108280255,-0.6058545746983093
16.098726114649683,0.07072825103051272
15.987261146496817,0.740373247156537
15.875796178343949,1.4132811542698178
15.764331210191084,2.0783478932159696
15.652866242038217,2.7563644581340405
15.54140127388535,3.4284365106910712
15.429936305732484,4.095433055482376
15.318471337579618,4.772862391137137
15.207006369426754,5.444183832095508
15.095541401273884,6.11091162478445
14.984076433121018,6.786980624907876
14.872611464968152,7.456382915390799
14.761146496815286,8.127793151096645
14.64968152866242,8.799260215440878
14.538216560509554,9.468950200905622
14.426751592356688,10.143771338844518
14.315286624203821,10.816601106580015
14.203821656050955,11.48563401091344
14.09235668789809,12.160350963015294
13.980891719745223,12.832364411038995
13.869426751592357,13.502975494017559
13.757961783439491,14.177289317965874
13.646496815286625,14.840985066010997
13.535031847133759,15.520316385156697
13.423566878980893,16.18590346132306
13.312101910828027,16.858325957150136
13.20063694267516,17.52904536972062
13.089171974522294,18.19916186595574
12.977707006369426,18.871065504475062
12.866242038216562,19.546386112868515
12.754777070063696,19.99168511185509
12.643312101910828,19.996550324060554
12.53184713375796,19.98846674623282
12.420382165605096,19.99044775704901
12.30891719745223,19.99044361329413
12.197452229299364,19.996541888559545
12.085987261146496,19.991632574962836
11.974522292993631,20.0
11.863057324840765,19.995297726156156
11.751592356687897,19.98805932633315
11.640127388535031,19.98880653413316
11.528662420382167,19.995824722982427
11.417197452229301,19.993105235849725
11.305732484076433,19.997313070941374
11.194267515923567,19.991632574962836
11.0828025477707,19.99764531128818
10.971337579617835,19.996269140693546
10.859872611464969,19.98995923794665
10.748407643312103,19.997262161952822
10.636942675159236,19.989174144387714
10.52547770700637,19.993105235849725
10.414012738853504,19.99248737239854
10.302547770700636,20.0
10.19108280254777,19.993068090047032
10.079617834394904,19.99722353623767
9.968152866242038,19.98846674623282
9.856687898089172,19.9955389518868
9.745222929936306,19.99044361329413
9.63375796178344,19.997313070941374
9.522292993630574,19.991632574962836
9.410828025477707,19.99764531128818
9.299363057324841,19.99248737239854
9.187898089171975,19.99648890769355
9.07643312101911,19.988720847201847
8.964968152866243,19.989174144387714
8.853503184713377,19.993105235849725
8.74203821656051,19.989084461692762
8.630573248407645,19.996462565251797
8.519108280254777,19.992026971632875
8.40764331210191,19.99722353623767
8.296178343949045,19.990123656220725
8.184713375796179,19.995824722982427
8.073248407643312,19.988900508574243
7.961783439490446,19.993068090047032
7.85031847133758,20.0
7.738853503184714,19.993068090047032
7.627388535031846,19.9865958409035
7.515923566878982,19.988720847201847
7.404458598726116,19.993552021420776
7.29299363057325,19.998054655074043
7.181528662420382,19.993105235849725
7.0700636942675175,19.99549425853057
6.958598726114651,19.98846674623282
6.847133757961785,19.987019539840205
6.735668789808916,19.993068090047032
6.624203821656051,19.997674317572354
6.512738853503185,19.99200817674466
6.401273885350319,19.996944276756857
6.289808917197453,19.989174144387714
6.178343949044587,19.98889000119579
6.066878980891719,19.995962058858524
5.955414012738853,19.99722353623767
5.843949044585987,19.996144532064587
5.732484076433122,19.992026971632875
5.621019108280256,19.997313070941374
5.50955414012739,19.993105235849725
5.398089171974524,19.993552021420776
5.286624203821656,19.98846674623282
5.17515923566879,19.9865958409035
5.063694267515922,19.995297726156156
4.952229299363056,19.996554763797928
4.840764331210192,19.991632574962836
4.729299363057326,19.996944276756857
4.61783439490446,19.99044361329413
4.5063694267515935,19.995922989169635
4.394904458598726,19.98846674623282
4.2834394904458595,19.99722353623767
4.171974522292993,19.992033335256444
4.060509554140127,19.996462565251797
3.949044585987263,19.991176317952053
3.837579617834397,19.997313070941374
3.7261146496815307,19.989174144387714
3.614649681528661,19.9969760948747
3.503184713375795,19.995962058858524
3.391719745222929,19.996770831016786
3.2802547770700627,19.995959690998593
3.1687898089171966,19.992026971632875
3.057324840764334,19.988398818251003
2.945859872611468,19.993105235849725
2.834394904458602,19.99044775704901
2.722929936305732,19.98846674623282
2.611464968152866,19.9948354015043
2.5,19.991632574962836
2.388535031847134,19.997674317572354
2.277070063694268,19.993068090047032
2.1656050955414017,19.998054655074043
2.0541401273885356,19.989174144387714
1.9426751592356695,19.997262161952822
1.8312101910828034,19.98995923794665
1.7197452229299373,19.99722353623767
1.6082802547770711,19.996462565251797
1.496815286624205,19.996462565251797
1.385350318471339,19.993149929205956
1.2738853503184728,19.993105235849725
1.1624203821656067,19.994675718950088
1.0509554140127406,19.988720847201847
