Time (s),Y Position (pixels)
-20.0,-2.712824709850903
-19.944267515923567,-2.712824709850903
-19.888535031847134,-2.712824709850903
-19.8328025477707,-2.712824709850903
-19.777070063694268,-2.712824709850903
-19.721337579617835,-2.712824709850903
-19.6656050955414,-2.712824709850903
-19.60987261146497,-2.712824709850903
-19.554140127388536,-2.712824709850903
-19.498407643312103,-2.712824709850903
-19.44267515923567,-2.712824709850903
-19.386942675159236,-2.712824709850903
-19.331210191082803,-2.646848595049047
-19.27547770700637,-2.6469826839076767
-19.219745222929937,-2.6428259292901544
-19.164012738853504,-2.6472750415830504
-19.10828025477707,-2.644872433017767
-19.052547770700638,-2.64376455130056
-18.996815286624205,-2.6469123422113476
-18.941082802547772,-2.644872433017767
-18.88535031847134,-2.6564612274881902
-18.829617834394906,-2.6469123422113476
-18.773885350318473,-2.644964756494197
-18.71815286624204,-2.650018367739932
-18.662420382165607,-2.642355519195945
-18.606687898089174,-2.6498732879912517
-18.55095541401274,-2.6486489028395006
-18.495222929936304,-2.6420741524106255
-18.439490445859875,-2.6407948128086147
-18.383757961783438,-2.650018367739932
-18.328025477707005,-2.647347581457389
-18.272292993630572,-2.6469123422113476
-18.21656050955414,-2.64376455130056
-18.160828025477706,-2.649695235572416
-18.105095541401273,-2.645006521876393
-18.04936305732484,-2.64376455130056
-17.993630573248407,-2.644872433017767
-17.937898089171973,-2.647732262609196
-17.88216560509554,-2.6487456226719566
-17.826433121019107,-2.6438107130387785
-17.770700636942674,-2.646485895677344
-17.71496815286624,-2.6451208271329314
-17.659235668789808,-2.6464111576249927
-17.603503184713375,-2.646848595049047
-17.547770700636942,-2.645006521876393
-17.49203821656051,-2.647013458399819
-17.436305732484076,-2.6451537998030865
-17.380573248407643,-2.6472750415830504
-17.32484076433121,-2.6450988453528304
-17.269108280254777,-2.649794153582878
-17.213375796178344,-2.6469123422113476
-17.15764331210191,-2.6450988453528304
-17.101910828025478,-2.650018367739932
-17.046178343949045,-2.647334392389329
-16.99044585987261,-2.644964756494197
-16.93471337579618,-2.650018367739932
-16.878980891719745,-2.647347581457389
-16.823248407643312,-2.6407948128086147
-16.76751592356688,-2.650018367739932
-16.711783439490446,-2.6498732879912517
-16.656050955414013,-2.6407948128086147
-16.60031847133758,-2.6523967963471016
-16.544585987261147,-2.6470838000961514
-16.488853503184714,-2.6469123422113476
-16.43312101910828,-2.6523967963471016
-16.377388535031848,-2.5307869942819643
-16.321656050955415,-2.174932748902698
-16.265923566878982,-1.8240815566749262
-16.21019108280255,-1.4787895566352631
-16.154458598726116,-1.127699862093376
-16.098726114649683,-0.7745691592688999
-16.04299363057325,-0.42626235808808133
-15.987261146496817,-0.07698506131570326
-15.931528662420384,0.2761148670166307
-15.875796178343949,0.6281640662600267
-15.820063694267516,0.9821938238907251
-15.764331210191084,1.326436193930455
-15.708598726114651,1.6810001088176634
-15.652866242038217,2.034618807160431
-15.597133757961783,2.3829036265611485
-15.54140127388535,2.7306850631975017
-15.485668789808917,3.085547930294112
-15.429936305732484,3.4347109218099554
-15.374203821656051,3.790606932571418
-15.318471337579618,4.130704637972684
-15.262738853503185,4.49016609346689
-15.207006369426752,4.832324590752837
-15.151273885350317,5.181197422771316
-15.095541401273884,5.535861354757994
-15.039808917197451,5.893535691529806
-14.984076433121018,6.243266912061316
-14.928343949044585,6.588275347137646
-14.872611464968152,6.939648606642869
-14.816878980891719,7.2928012912474465
-14.761146496815286,7.641085561103662
-14.705414012738853,7.988867547284524
-14.64968152866242,8.344793782993623
-14.593949044585987,8.695564741724016
-14.538216560509554,9.050270988637394
-14.48248407643312,9.388887671604202
-14.426751592356688,9.748348577553905
-14.371019108280255,10.10030380468736
-14.315286624203821,10.447183988339482
-14.259554140127388,10.794465339478489
-14.203821656050955,11.151718175616821
-14.148089171974522,11.49988374386048
-14.09235668789809,11.850682179816001
-14.036624203821656,12.550743349614585
-13.980891719745223,12.89943922830323
-13.92515923566879,13.248545891507561
-13.869426751592357,13.603209548721985
-13.813694267515924,13.956808738234912
-13.757961783439491,14.308453472724409
-13.702229299363058,14.651836767320482
-13.646496815286625,14.566929256563085
-13.590764331210192,14.214202194175755
-13.535031847133759,13.863578513372055
-13.479299363057326,13.518286238560144
-13.423566878980893,13.164759588921555
-13.367834394904458,12.810880681256819
-13.312101910828027,12.460054768076162
-13.256369426751593,12.111455883992228
-13.20063694267516,11.758643916979246
-13.144904458598727,11.405724788788262
-13.089171974522294,11.06909415965378
-13.03343949044586,10.714798422483831
-12.977707006369426,10.359389308151655
-12.921974522292993,10.007757762730222
-12.866242038216562,9.657672085994545
-12.810509554140129,9.309638408431514
-12.754777070063696,8.956019710088743
-12.699044585987263,8.601325553154425
-12.643312101910828,8.260103479700874
-12.587579617834395,7.906297386682727
-12.53184713375796,7.551134468287707
-12.476114649681527,7.200672353567764
-12.420382165605096,6.848757243182998
-12.364649681528663,6.50046143289223
-12.30891719745223,6.1473197391777035
-12.253184713375797,5.799611941504697
-12.197452229299362,5.45093804459615
-12.141719745222929,5.10120682406464
-12.085987261146496,4.744139184423673
-12.030254777070063,4.396672087242795
-11.974522292993631,4.04417885604132
-11.918789808917198,3.6913064391330543
-11.863057324840765,3.3383757705075148
-11.80732484076433,2.9964634691587264
-11.751592356687897,2.6474499537475893
-11.695859872611464,2.294412673488548
-11.640127388535031,1.942040342077636
-11.584394904458598,1.5903241668028052
-11.528662420382167,1.2409820237791216
-11.472929936305734,0.8886712413524975
-11.417197452229301,0.5380475605487938
-11.361464968152866,0.19275556050913067
-11.305732484076433,-0.1636009685454951
-11.25,-0.514479637998388
-11.194267515923567,-0.8654759099748439
-11.138535031847134,-1.2184208667574445
-11.0828025477707,-1.5677674061371505
-11.027070063694268,-1.9198056144904925
-10.971337579617835,-2.2599033198917624
-10.915605095541402,-2.615799330653225
-10.859872611464969,-2.96614274376061
-10.804140127388536,-3.3205769661452074
-10.748407643312103,-3.670676381493447
-10.69267515923567,-4.021336332234318
-10.636942675159236,-4.369512341823523
