Time (s),Y Position (pixels)
-20.0,-2.3244088461412105
-19.946319018404907,-2.3244088461412105
-19.892638036809817,-2.3244088461412105
-19.838957055214724,-2.3244088461412105
-19.78527607361963,-2.3244088461412105
-19.73159509202454,-2.3244088461412105
-19.677914110429448,-2.3244088461412105
-19.624233128834355,-2.3244088461412105
-19.570552147239265,-2.3244088461412105
-19.516871165644172,-2.3244088461412105
-19.46319018404908,-2.3244088461412105
-19.40950920245399,-2.3244088461412105
-19.355828220858896,-2.3244088461412105
-19.302147239263803,-2.3244088461412105
-19.24846625766871,-2.3244088461412105
-19.19478527607362,-2.3244088461412105
-19.141104294478527,-2.3244088461412105
-19.087423312883434,-2.3244088461412105
-19.033742331288344,-2.3244088461412105
-18.98006134969325,-2.3244088461412105
-18.926380368098158,-2.3244088461412105
-18.87269938650307,-2.3244088461412105
-18.819018404907975,-2.3244088461412105
-18.765337423312882,-2.3244088461412105
-18.711656441717793,-2.3244088461412105
-18.6579754601227,-2.3244088461412105
-18.604294478527606,-2.254367937199529
-18.550613496932517,-2.1441979991907267
-18.496932515337424,-2.020534156819476
-18.44325153374233,-1.9121297763908132
-18.38957055214724,-1.7936001583627608
-18.335889570552148,-1.670616034285068
-18.282208588957054,-1.5619252316823875
-18.22852760736196,-1.443395613654335
-18.17484662576687,-1.3302481675231093
-18.12116564417178,-1.2112397542190863
-18.067484662576685,-1.0989857742724816
-18.013803680981596,-0.9800436228146836
-17.960122699386503,-0.8674252027138252
-17.90644171779141,-0.7496672145724865
-17.85276073619632,-0.6427569319023156
-17.799079754601227,-0.5214753097768998
-17.745398773006134,-0.4052808874586482
-17.691717791411044,-0.29255238719389354
-17.63803680981595,-0.17401101303183353
-17.584355828220858,-0.05386759842629729
-17.530674846625768,0.057436272144563816
-17.476993865030675,0.17233751972191413
-17.42331288343558,0.29210046308137194
-17.369631901840492,0.4071876713239426
-17.3159509202454,0.5213750009451665
-17.262269938650306,0.6389181724559911
-17.208588957055213,0.7510310787945009
-17.154907975460123,0.8642704365188827
-17.10122699386503,0.9912249276729597
-17.047546012269937,1.101235623502923
-16.993865030674847,1.2140699289737498
-16.940184049079754,1.3386186876139803
-16.88650306748466,1.4464641173075314
-16.83282208588957,1.5638619402524334
-16.779141104294478,1.681002196988615
-16.72546012269939,1.9127733102199578
-16.671779141104295,2.027391341841664
-16.618098159509202,2.1400792300071174
-16.56441717791411,2.2633551199561026
-16.51073619631902,2.373637275607699
-16.457055214723926,2.4902837747155395
-16.403374233128833,2.6056178617722843
-16.349693251533743,2.719206697298546
-16.29601226993865,2.8338920595059314
